name,symbol,rank,market_cap,current_price,syllable_count,character_length,phonetic_score,vowel_ratio,memorability_score,pronounceability_score,uniqueness_score,name_type,has_numbers,has_special_chars,name_type_percentile,price_30d_change,price_90d_change,price_1yr_change,price_ath_change,linguistic_composite,is_mission_positive,is_high_performer,is_breakout,rank_tier,in_linguistic_sweet_spot,mission_resonance_score
Bitcoin,BTC,1,2195536253790.0,110033.0,2,7,100.0,0.42857142857142855,100.0,41.67,67.78,tech,0,0,25.0,-9.333719188977563,-4.542154781628266,52.91039420449872,-13.889986770478838,77.36250000000001,True,False,False,vanguard,True,81.92
Ethereum,ETH,2,468340128642.0,3878.6,1,8,80.0,0.5,94.0,51.67,78.89,invented,0,0,75.0,-13.56493487680486,10.514016095212384,49.306951005128575,-22.25052043419534,76.14,True,False,False,vanguard,False,80.73
Solana,SOL,6,102602404110.0,185.68,1,6,100.0,0.5,100.0,56.67,61.11,invented,0,0,75.0,-17.626167285428124,14.946719257184482,8.208873765638057,-30.59667170182021,79.44500000000001,True,False,False,vanguard,False,82.22
Cardano,ADA,11,22349510803.0,0.610986,2,7,100.0,0.42857142857142855,100.0,35.0,67.78,invented,0,0,75.0,-29.81880537375187,-14.630515901558546,74.46109897006575,-51.6657013150494,75.695,True,False,False,vanguard,True,81.85
Dogecoin,DOGE,9,28291458078.0,0.186642,3,8,90.0,0.5,87.0,64.29,66.67,animal,0,0,0.0,-27.630287045873057,-6.315201743686218,11.084448354381381,-61.516798362907345,76.99000000000001,True,False,False,vanguard,True,79.81
Avalanche,AVAX,12,10000000000.0,28.5,1,9,88.89,0.4444444444444444,81.67,28.46,81.11,invented,0,0,75.0,18.9,67.8,234.5,-80.5,70.0325,True,True,False,vanguard,False,76.75
Polygon,MATIC,14,8500000000.0,0.92,2,7,77.14,0.2857142857142857,93.14,26.43,65.56,invented,0,0,75.0,22.4,45.6,178.3,-68.5,65.5675,True,True,False,vanguard,True,73.34
Chainlink,LINK,16,11965135391.0,17.17,2,9,46.67,0.3333333333333333,69.0,0.0,75.56,tech,0,0,25.0,-26.26152954201979,6.048039458712651,45.69541836668388,-43.43375757502136,47.807500000000005,True,False,False,vanguard,True,56.46
Stellar,XLM,20,9771383153.0,0.30484,2,7,67.14,0.2857142857142857,90.14,16.0,68.89,astronomical,0,0,25.0,-25.999806665756335,-20.01439655256523,218.44756355638503,-47.38579465926106,60.542500000000004,True,True,False,vanguard,True,69.62
Cosmos,ATOM,85,1434600812.0,3.01,2,6,86.67,0.3333333333333333,96.0,31.0,66.67,astronomical,0,0,25.0,14.3,42.8,123.4,-78.0,70.08500000000001,True,False,False,established,True,76.45
Tether,USDT,3,183421817253.0,0.999828,2,6,86.67,0.3333333333333333,96.0,31.0,100.0,invented,0,0,,-0.02972543085556945,0.04128381632282897,0.1961556166838695,-0.22951048202700625,78.4175,True,False,False,vanguard,True,80.72
BNB,BNB,5,150224756474.0,1090.12,1,3,20.0,0.0,61.0,35.0,100.0,acronym,0,0,,3.6196579862836926,44.293389268533836,84.67369707613159,-18.964744138495227,54.0,True,False,False,vanguard,False,63.26
XRP,XRP,4,150797468195.0,2.51,1,3,20.0,0.0,61.0,35.0,100.0,acronym,0,0,,-17.989084868796446,-12.790819709777097,374.36598975922817,-32.09064648858491,54.0,True,True,True,vanguard,False,64.28
USDC,USDC,7,75852743768.0,0.9998,2,4,70.0,0.25,91.0,45.0,100.0,acronym,0,0,,-0.010330615749218714,-0.002120980213074706,0.03508407007000783,-0.3698795731406597,76.5,True,False,False,vanguard,False,78.45
Lido Staked Ether,STETH,8,33327777784.0,3879.49,3,17,70.0,0.4,51.0,6.05,100.0,financial,0,0,,-13.401256947924022,10.950620393143607,49.4167543868985,-21.879676936383152,56.7625,True,False,False,vanguard,False,64.2
TRON,TRX,10,28027318102.0,0.296086,1,4,70.0,0.25,91.0,35.0,100.0,tech,0,0,,-14.83869281569858,-9.579707307291201,73.19133779442176,-29.96116246260283,74.0,True,False,False,vanguard,False,79.63
Wrapped stETH,WSTETH,12,15770806176.0,4724.56,2,13,20.0,0.25,46.0,0.0,100.0,invented,0,0,,-13.197398166312082,11.56654888945062,53.551529865157946,-21.500110263329223,41.5,True,False,False,vanguard,False,50.72
Wrapped Bitcoin,WBTC,13,13947376190.0,110009.0,3,15,41.43,0.35714285714285715,42.43,0.0,100.0,tech,0,0,,-8.969414944434021,-4.302980323491548,53.32064221798759,-13.723768423636255,45.965,True,False,False,vanguard,False,54.64
Wrapped Beacon ETH,WBETH,14,13704976802.0,4196.68,3,18,45.0,0.375,43.5,0.0,100.0,invented,0,0,,-13.243583332220446,10.96613710788001,53.41312560385044,-21.91285287265363,47.125,True,False,False,vanguard,False,55.82
Figure Heloc,FIGR_HELOC,15,13617887337.0,1.017,5,12,99.09,0.45454545454545453,44.73,41.67,100.0,invented,0,0,,-64.71796339497556,,0.0,-65.70633677405965,71.3725,False,False,False,vanguard,False,67.0
Hyperliquid,HYPE,17,11628445545.0,42.97,4,11,62.73,0.36363636363636365,33.82,11.67,100.0,invented,0,0,,-6.220404726676331,19.391274537062326,0.0,-24.515785807257444,52.055,False,False,False,vanguard,False,51.29
Ethena USDe,USDE,21,9278054387.0,0.998879,2,11,70.0,0.5,61.0,17.86,100.0,invented,0,0,,-0.22350238667801786,-0.1084748408042703,0.10009344558356308,-0.46609779933515694,62.215,True,False,False,vanguard,False,66.35
Wrapped eETH,WEETH,19,10330102884.0,4191.2,1,12,52.73,0.36363636363636365,55.82,0.0,100.0,invented,0,0,,-13.172477470906832,11.763536919414646,53.280345769448054,-21.448946267591698,52.137499999999996,True,False,False,vanguard,False,60.82
