generation,best_fitness,mean_fitness,std_fitness
0,0.09212834725116237,0.07608709007497348,0.007155356747738743
1,0.09212834725116237,0.08264217419045718,0.005437666506575376
2,0.09400750756481174,0.0872095526789773,0.00446816877545405
3,0.0961286525737846,0.09131251957404249,0.002486248014071394
4,0.09742990119511909,0.09411225261175808,0.0017680378568006312
5,0.09742990119511909,0.09590578492014411,0.0012405649371177241
6,0.09772311935698944,0.09668710953291328,0.0005869380941275856
7,0.09838386796171074,0.0972542673682379,0.00038412702474797705
8,0.0986467990351374,0.0975803382955002,0.0004989994022484598
9,0.09874098336114963,0.09788851705637827,0.0006077382647933794
