country_code,endonym,common_english,abbreviation_english,abbreviation_local,spanish_name,phonetic_beauty_note,endonym_plosives,endonym_sibilants,endonym_liquids,endonym_vowels,endonym_syllables,endonym_harshness,endonym_melodiousness,common_english_plosives,common_english_sibilants,common_english_liquids,common_english_vowels,common_english_syllables,common_english_harshness,common_english_melodiousness,abbreviation_english_plosives,abbreviation_english_sibilants,abbreviation_english_liquids,abbreviation_english_vowels,abbreviation_english_syllables,abbreviation_english_harshness,abbreviation_english_melodiousness,spanish_name_plosives,spanish_name_sibilants,spanish_name_liquids,spanish_name_vowels,spanish_name_syllables,spanish_name_harshness,spanish_name_melodiousness,length,phonetic_beauty_score
USA,United States of America,America / the States,USA / US,USA,Estados Unidos / EEUU,America = subjectively beautiful (user hypothesis),4,2,3,10,10,100.0,30.916666666666668,3,2,2,7,7,100.0,36.5,0,2,0,3,3,100,43.5,3,3,1,10,7,100.0,39.976190476190474,20,6.5
CHN,中国 (Zhōngguó),China,PRC,中国,China,China = harsh plosive (Trump pronunciation emphasis),2,1,1,1,1,100.0,27.884615384615387,0,1,1,2,2,20.0,47.5,1,0,1,0,1,100,32.5,0,1,1,2,2,20.0,47.5,5,41.5
MEX,México,Mexico,MEX,MX,México,Smooth flow,0,1,1,2,2,16.666666666666686,43.83333333333333,0,1,1,3,3,0.0,53.5,0,1,1,1,1,100,45.83333333333333,0,1,1,2,2,16.666666666666686,43.83333333333333,6,53.5
DEU,Deutschland,Germany,GER / DE,DE,Alemania,Harsh consonants,3,2,2,3,2,100.0,41.86363636363636,1,0,3,3,3,0.0,58.5,2,0,1,2,1,100,36.25,0,0,3,5,4,0.0,64.75,7,58.5
BRA,Brasil,Brazil,BRA,BR,Brasil,Soft sibilants,1,1,2,2,2,100.0,48.83333333333333,1,1,2,2,2,100.0,48.83333333333333,1,0,1,1,1,100,45.83333333333333,1,1,2,2,2,100.0,48.83333333333333,6,18.83333333333333
IND,भारत (Bhārat) / India,India,IND,IND / भारत,India,"Short, simple",3,0,2,4,3,100.0,38.976190476190474,1,0,1,3,2,70.00000000000003,55.5,1,0,1,1,1,100,45.83333333333333,1,0,1,3,2,70.00000000000003,55.5,5,34.49999999999999
EGY,مصر (Miṣr),Egypt,EGY,مصر,Egipto,Smooth,0,0,2,1,1,0.0,32.5,3,0,0,2,2,100.0,41.5,1,0,0,2,2,100,52.166666666666664,3,0,0,3,3,100.0,48.5,5,11.5
NGA,Nigeria,Nigeria,NGA / NGR,NGR,Nigeria,"Soft beginning, hard ending",1,0,2,4,3,0.0,59.92857142857143,1,0,2,4,3,0.0,59.92857142857143,2,0,3,1,1,100,36.94444444444444,1,0,2,4,3,0.0,59.92857142857143,7,59.92857142857143
GBR,United Kingdom,Britain / UK,UK,UK,Reino Unido,Formal/stiff,5,0,3,5,5,100.0,46.214285714285715,3,0,2,4,3,100.0,46.83333333333333,1,0,0,1,1,100,42.5,1,0,3,6,5,0.0,55.5,12,16.83333333333333
CAN,Canada,Canada,CAN,CA,Canadá,"Simple, open",1,0,1,3,3,58.333333333333314,53.5,1,0,1,3,3,58.333333333333314,53.5,0,0,1,1,1,0,45.83333333333333,1,0,1,2,2,100.0,43.83333333333333,6,36.00000000000001
ESP,España,Spain,ESP,ES,España,Palatalized,1,1,0,3,3,100.0,48.5,1,1,1,2,1,100.0,44.5,1,1,0,1,1,100,35.83333333333333,1,1,0,3,3,100.0,48.5,5,14.5
