country_code,endonym,common_english,abbreviation_english,abbreviation_local,spanish_name,phonetic_beauty_note
USA,United States of America,America / the States,USA / US,USA,Estados Unidos / EEUU,America = subjectively beautiful (user hypothesis)
CHN,中国 (Zhōngguó),China,PRC,中国,China,China = harsh plosive (Trump pronunciation emphasis)
MEX,México,Mexico,MEX,MX,México,Smooth flow
DEU,Deutschland,Germany,GER / DE,DE,Alemania,Harsh consonants
BRA,Brasil,Brazil,BRA,BR,Brasil,Soft sibilants
IND,भारत (Bhārat) / India,India,IND,IND / भारत,India,"Short, simple"
EGY,مصر (Miṣr),Egypt,EGY,مصر,Egipto,Smooth
NGA,Nigeria,Nigeria,NGA / NGR,NGR,Nigeria,"Soft beginning, hard ending"
GBR,United Kingdom,Britain / UK,UK,UK,Reino Unido,Formal/stiff
CAN,Canada,Canada,CAN,CA,Canadá,"Simple, open"
ESP,España,Spain,ESP,ES,España,Palatalized
